Site,Type,Contact,URL,Status,Notes
Google Scholar,Profile,,https://scholar.google.com/citations?user=UWNJ6TwAAAAJ&hl=en,todo,Add website link and keywords
ResearchGate,Profile,,https://www.researchgate.net/profile/Chandan-Sheikder,todo,Add website link and bio
ORCID,Profile,,https://orcid.org/0000-0003-1459-8747,todo,Add website link and keywords
LinkedIn,Profile,,https://cn.linkedin.com/in/chandan-sheikder,todo,Add website link and About text
X,Profile,,https://x.com/chandansheikder,todo,Add website link in bio
GitHub,Profile,,https://github.com/Chandan118,todo,Add website link in profile
University profile,Institutional,,TBD,todo,Ask admin to add website
Lab website,Laboratory,,TBD,todo,Ask lab admin to add website
Department page,Institutional,,TBD,todo,Ask admin to add website
MDPI author page,Publisher,,TBD,todo,Add website link where possible
Authorea,Publisher,,TBD,todo,Add website link to preprints
arXiv,Preprint,,TBD,todo,Add website link to author profile
Semantic Scholar,Indexer,,https://www.semanticscholar.org/,todo,Claim author profile and add website
DBLP,Indexer,,https://dblp.org/,todo,Check author profile and request link
OpenAlex,Indexer,,https://openalex.org/,todo,Claim/merge author profile and add website
Publons (Web of Science),Indexer,,https://publons.com/,todo,Claim profile and add website
